CVCL	label
cellosaurus:CVCL_1134	COLO 792
cellosaurus:CVCL_1136	COLO 824
cellosaurus:CVCL_1136	COLO 824
cellosaurus:CVCL_2002	COLO 849
cellosaurus:CVCL_2003	COLO 853
cellosaurus:CVCL_2004	COLO 857
cellosaurus:CVCL_2005	COLO 858
cellosaurus:CVCL_1138	COR-L105
cellosaurus:CVCL_1138	COR-L105
cellosaurus:CVCL_1138	COR-L105
cellosaurus:CVCL_1138	COR-L105
cellosaurus:CVCL_2409	COR-L24
cellosaurus:CVCL_1140	COR-L279
cellosaurus:CVCL_1140	COR-L279
cellosaurus:CVCL_1140	COR-L279
cellosaurus:CVCL_1140	COR-L279
cellosaurus:CVCL_2412	COR-L311
cellosaurus:CVCL_2415	COR-L47
cellosaurus:CVCL_2416	COR-L51
cellosaurus:CVCL_1141	COR-L88
cellosaurus:CVCL_1141	COR-L88
cellosaurus:CVCL_1141	COR-L88
cellosaurus:CVCL_1141	COR-L88
cellosaurus:CVCL_2418	COR-L95
cellosaurus:CVCL_2418	COR-L95
cellosaurus:CVCL_2419	COV318
cellosaurus:CVCL_2419	COV318
cellosaurus:CVCL_2010	COV434
cellosaurus:CVCL_2010	COV434
cellosaurus:CVCL_2424	COV504
cellosaurus:CVCL_2425	COV644
cellosaurus:CVCL_2425	COV644
cellosaurus:CVCL_1146	CPC-N
cellosaurus:CVCL_1146	CPC-N
cellosaurus:CVCL_1147	CRO-AP2
cellosaurus:CVCL_1147	CRO-AP2
cellosaurus:CVCL_1147	CRO-AP2
cellosaurus:CVCL_1148	CRO-AP5
cellosaurus:CVCL_1148	CRO-AP5
cellosaurus:CVCL_1148	CRO-AP5
cellosaurus:CVCL_DF76	CSCC-1
cellosaurus:CVCL_DF76	CSCC-1
cellosaurus:CVCL_DF77	CSCC-7
cellosaurus:CVCL_DF77	CSCC-7
cellosaurus:CVCL_1149	CTB-1
cellosaurus:CVCL_1151	CW-2
cellosaurus:CVCL_DH62	D01
cellosaurus:CVCL_DH63	D03
cellosaurus:CVCL_H604	D04
cellosaurus:CVCL_H607	D05
cellosaurus:CVCL_H608	D08
cellosaurus:CVCL_H945	D10
cellosaurus:CVCL_H946	D11
cellosaurus:CVCL_H944	D14
cellosaurus:CVCL_H943	D17
cellosaurus:CVCL_W869	D20
cellosaurus:CVCL_DH67	D22
cellosaurus:CVCL_W871	D24
cellosaurus:CVCL_W872	D25
cellosaurus:CVCL_DH69	D28
cellosaurus:CVCL_1155	D283 Med
cellosaurus:CVCL_1155	D283 Med
cellosaurus:CVCL_1155	D283 Med
cellosaurus:CVCL_1155	D283 Med
cellosaurus:CVCL_1155	D283 Med
cellosaurus:CVCL_1155	D283 Med
cellosaurus:CVCL_DH70	D29
cellosaurus:CVCL_DH71	D30
cellosaurus:CVCL_DH72	D32
cellosaurus:CVCL_0018	D341 Med
cellosaurus:CVCL_0018	D341 Med
cellosaurus:CVCL_0018	D341 Med
cellosaurus:CVCL_0018	D341 Med
cellosaurus:CVCL_0018	D341 Med
cellosaurus:CVCL_0018	D341 Med
cellosaurus:CVCL_0018	D341 Med
cellosaurus:CVCL_DG37	D35
cellosaurus:CVCL_DH73	D36
cellosaurus:CVCL_DH74	D38
cellosaurus:CVCL_1157	D384 Med
cellosaurus:CVCL_DH75	D40
cellosaurus:CVCL_DH76	D41
cellosaurus:CVCL_1275	D425 Med
cellosaurus:CVCL_1275	D425 Med
cellosaurus:CVCL_1161	D458 Med
cellosaurus:CVCL_DH66	D49
cellosaurus:CVCL_DH65	D54
cellosaurus:CVCL_1165	D556 Med
cellosaurus:CVCL_DH64	D64
cellosaurus:CVCL_0243	DAN-G
cellosaurus:CVCL_1167	Daoy
cellosaurus:CVCL_1167	Daoy
cellosaurus:CVCL_1167	Daoy
cellosaurus:CVCL_1168	DB
cellosaurus:CVCL_1168	DB
cellosaurus:CVCL_1168	DB
cellosaurus:CVCL_1168	DB
cellosaurus:CVCL_1168	DB
cellosaurus:CVCL_1169	DBTRG-05MG
cellosaurus:CVCL_1169	DBTRG-05MG
